game_id,inn_ct,bunt_fl,bat_id,pit_id,runs_scored,away_team_id,home_team_id,away_score_final,home_score_final,win_team_id,loss_team_id,OPS,SH_rate_bat
CHA202206120,10,FALSE,robel002,kingj002,0,TEX,CHA,8,6,TEX,CHA,0.745,0
CHA202206210,12,FALSE,polla001,gagem001,1,TOR,CHA,6,7,TOR,CHA,0.681,0
CHA202207060,10,FALSE,harrj002,moraj003,1,MIN,CHA,8,9,MIN,CHA,0.687,0.004705882
CHN202104220,10,FALSE,duffm002,diaze006,1,NYN,CHN,3,4,NYN,CHN,0.738,0
CHN202109020,10,FALSE,heywj001,bednd001,0,PIT,CHN,5,6,PIT,CHN,0.627,0
CHN202109020,11,TRUE,orter001,howas002,1,PIT,CHN,5,6,PIT,CHN,0.823,0.006060606
CHN202109080,10,FALSE,wisdp001,bracb001,3,CIN,CHN,1,4,CIN,CHN,0.823,0
CHN202206010,10,FALSE,madrn001,milnh001,1,MIL,CHN,3,4,MIL,CHN,0.587,0.00877193
CHN202206050,10,FALSE,happi001,cabrg001,0,SLN,CHN,5,3,SLN,CHN,0.782,0
CHN202207030,10,FALSE,happi001,diekj001,0,BOS,CHN,4,2,BOS,CHN,0.782,0
CHN202207161,10,FALSE,wisdp001,ottaa001,0,NYN,CHN,2,1,NYN,CHN,0.724,0.001872659
CIN202104170,10,FALSE,naqut001,pereo002,1,CLE,CIN,2,3,CLE,CIN,0.81,0
CIN202105020,10,FALSE,castn001,kimbc001,1,CHN,CIN,12,13,CHN,CIN,0.938,0
CIN202105050,10,FALSE,senzn001,hendl001,1,CHA,CIN,0,1,CHA,CIN,0.638,0
CIN202109240,10,FALSE,vottj001,votha001,0,WAS,CIN,7,8,WAS,CIN,0.937,0
CIN202109240,11,FALSE,aquia001,thomm005,1,WAS,CIN,7,8,WAS,CIN,0.707,0
CIN202207080,10,TRUE,senzn001,wislm001,1,TBA,CIN,1,2,TBA,CIN,0.602,0.00486618
CIN202208310,10,FALSE,farmk001,helsr001,0,SLN,CIN,5,3,SLN,CIN,0.701,0.003430532
CIN202208310,11,FALSE,friet001,palla001,0,SLN,CIN,5,3,SLN,CIN,0.75,0
CIN202208310,12,TRUE,farmk001,palla001,0,SLN,CIN,5,3,SLN,CIN,0.701,0.003430532
CLE202104260,10,FALSE,luplj001,coloa001,2,MIN,CLE,3,5,MIN,CLE,0.77,0
CLE202105120,10,FALSE,luplj001,thomk002,1,CHN,CLE,1,2,CHN,CLE,0.77,0
CLE202105220,10,FALSE,hernc005,coloa001,2,MIN,CLE,3,5,MIN,CLE,0.738,0
CLE202106120,10,FALSE,rosaa003,sewap001,1,SEA,CLE,4,5,SEA,CLE,0.73,0
CLE202205042,10,FALSE,reyef001,lamed001,1,SDN,CLE,5,6,SDN,CLE,0.604,0
